Plot,Row,Bag,Time,Weight,Treatment,Phos,Buffer,Month
Low,10.5,7b,0,1.83,Treatment,3,1.4,October '23
Low,10.5,8a,0,1.81,Treatment,3,1.4,October '23
Low,10.5,8b,0,1.79,Treatment,3,1.4,October '23
Low,10.5,9a,0,1.82,Treatment,3,1.4,October '23
Low,10.5,9b,0,1.88,Treatment,3,1.4,October '23
Low,14.5,10a,0,1.83,Control,6,2.1,October '23
Low,14.5,10b,0,1.84,Control,6,2.1,October '23
Low,14.5,1a,0,1.84,Control,6,2.1,October '23
Low,14.5,1b,0,1.8,Control,6,2.1,October '23
Low,14.5,2a,0,1.83,Control,6,2.1,October '23
Low,14.5,2b,0,1.86,Control,6,2.1,October '23
Low,14.5,3a,0,1.81,Control,6,2.1,October '23
Low,14.5,3b,0,1.79,Control,6,2.1,October '23
Low,14.5,4a,0,1.9,Control,6,2.1,October '23
Low,14.5,4b,0,1.91,Control,6,2.1,October '23
Low,14.5,5a,0,1.84,Control,6,2.1,October '23
Low,14.5,5b,0,1.85,Control,6,2.1,October '23
Low,14.5,6a,0,1.83,Control,6,2.1,October '23
Low,14.5,6b,0,1.83,Control,6,2.1,October '23
Low,14.5,7a,0,1.92,Control,6,2.1,October '23
Low,14.5,7b,0,1.86,Control,6,2.1,October '23
Low,14.5,8a,0,1.83,Control,6,2.1,October '23
Low,14.5,8b,0,1.82,Control,6,2.1,October '23
Low,14.5,9a,0,1.84,Control,6,2.1,October '23
Low,14.5,9b,0,1.82,Control,6,2.1,October '23
Low,18.5,10a,0,1.81,Treatment,12,1.1,October '23
Low,18.5,10b,0,1.85,Treatment,12,1.1,October '23
Low,18.5,1a,0,1.84,Treatment,12,1.1,October '23
Low,18.5,1b,0,1.85,Treatment,12,1.1,October '23
Low,18.5,2a,0,1.82,Treatment,12,1.1,October '23
Low,18.5,2b,0,1.84,Treatment,12,1.1,October '23
Low,18.5,3a,0,1.84,Treatment,12,1.1,October '23
Low,18.5,3b,0,1.81,Treatment,12,1.1,October '23
Low,18.5,4a,0,1.81,Treatment,12,1.1,October '23
Low,18.5,4b,0,1.84,Treatment,12,1.1,October '23
Low,18.5,5a,0,1.79,Treatment,12,1.1,October '23
Low,18.5,5b,0,1.81,Treatment,12,1.1,October '23
Low,18.5,6a,0,1.79,Treatment,12,1.1,October '23
Low,18.5,6b,0,1.85,Treatment,12,1.1,October '23
Low,18.5,7a,0,1.8,Treatment,12,1.1,October '23
Low,18.5,7b,0,1.81,Treatment,12,1.1,October '23
Low,18.5,8a,0,1.84,Treatment,12,1.1,October '23
Low,18.5,8b,0,1.83,Treatment,12,1.1,October '23
Low,18.5,9a,0,1.84,Treatment,12,1.1,October '23
Low,18.5,9b,0,1.81,Treatment,12,1.1,October '23
Low,22.5,10a,0,1.86,Control,12,2.3,October '23
Low,22.5,10b,0,1.94,Control,12,2.3,October '23
Low,22.5,1a,0,1.98,Control,12,2.3,October '23
Low,22.5,1b,0,1.91,Control,12,2.3,October '23
Low,22.5,2a,0,1.9,Control,12,2.3,October '23
Low,22.5,2b,0,1.93,Control,12,2.3,October '23
Low,22.5,3a,0,1.92,Control,12,2.3,October '23
Low,22.5,3b,0,1.81,Control,12,2.3,October '23
Low,22.5,4a,0,1.97,Control,12,2.3,October '23
Low,22.5,4b,0,1.88,Control,12,2.3,October '23
Low,22.5,5a,0,1.8,Control,12,2.3,October '23
Low,22.5,5b,0,1.92,Control,12,2.3,October '23
Low,22.5,6a,0,1.93,Control,12,2.3,October '23
Low,22.5,6b,0,1.97,Control,12,2.3,October '23
Low,22.5,7a,0,1.82,Control,12,2.3,October '23
Low,22.5,7b,0,1.83,Control,12,2.3,October '23
Low,22.5,8a,0,1.89,Control,12,2.3,October '23
Low,22.5,8b,0,1.84,Control,12,2.3,October '23
Low,22.5,9a,0,1.86,Control,12,2.3,October '23
Low,22.5,9b,0,1.92,Control,12,2.3,October '23
Up,25.5,10a,0,1.9,Control,21,0.8,October '23
Up,25.5,10b,0,1.82,Control,21,0.8,October '23
Up,25.5,1a,0,1.8,Control,21,0.8,October '23
Up,25.5,1b,0,1.79,Control,21,0.8,October '23
Up,25.5,2a,0,1.82,Control,21,0.8,October '23
Up,25.5,2b,0,1.79,Control,21,0.8,October '23
Up,25.5,3a,0,1.79,Control,21,0.8,October '23
Up,25.5,3b,0,1.8,Control,21,0.8,October '23
Up,25.5,4a,0,1.78,Control,21,0.8,October '23
Up,25.5,4b,0,1.8,Control,21,0.8,October '23
Up,25.5,5a,0,1.82,Control,21,0.8,October '23
Up,25.5,5b,0,1.77,Control,21,0.8,October '23
Up,25.5,6a,0,1.8,Control,21,0.8,October '23
Up,25.5,6b,0,1.82,Control,21,0.8,October '23
Up,25.5,7a,0,1.81,Control,21,0.8,October '23
Up,25.5,7b,0,1.82,Control,21,0.8,October '23
Up,25.5,8a,0,1.82,Control,21,0.8,October '23
Up,25.5,8b,0,1.86,Control,21,0.8,October '23
Up,25.5,9a,0,1.82,Control,21,0.8,October '23
Up,25.5,9b,0,1.9,Control,21,0.8,October '23
Up,30.5,10a,0,1.83,Treatment,23,0.7,October '23
Up,30.5,10b,0,1.8,Treatment,23,0.7,October '23
Up,30.5,1a,0,1.85,Treatment,23,0.7,October '23
Up,30.5,1b,0,1.93,Treatment,23,0.7,October '23
Up,30.5,2a,0,1.82,Treatment,23,0.7,October '23
Up,30.5,2b,0,1.81,Treatment,23,0.7,October '23
Up,30.5,3a,0,1.82,Treatment,23,0.7,October '23
Up,30.5,3b,0,1.8,Treatment,23,0.7,October '23
Up,30.5,4a,0,1.87,Treatment,23,0.7,October '23
Up,30.5,4b,0,1.86,Treatment,23,0.7,October '23
Up,30.5,5a,0,1.87,Treatment,23,0.7,October '23
Up,30.5,5b,0,1.79,Treatment,23,0.7,October '23
Up,30.5,6a,0,1.85,Treatment,23,0.7,October '23
Up,30.5,6b,0,1.79,Treatment,23,0.7,October '23
Up,30.5,7a,0,1.78,Treatment,23,0.7,October '23
Up,30.5,7b,0,1.8,Treatment,23,0.7,October '23
Up,30.5,8a,0,1.82,Treatment,23,0.7,October '23
Up,30.5,8b,0,1.81,Treatment,23,0.7,October '23
Up,30.5,9a,0,1.82,Treatment,23,0.7,October '23
Up,30.5,9b,0,1.82,Treatment,23,0.7,October '23
Up,33.5,10a,0,1.87,Control,19,0.9,October '23
Up,33.5,10b,0,1.88,Control,19,0.9,October '23
Up,33.5,1a,0,1.8,Control,19,0.9,October '23
Up,33.5,1b,0,1.78,Control,19,0.9,October '23
Up,33.5,2a,0,1.8,Control,19,0.9,October '23
Up,33.5,2b,0,1.82,Control,19,0.9,October '23
Up,33.5,3a,0,1.86,Control,19,0.9,October '23
Up,33.5,3b,0,1.82,Control,19,0.9,October '23
Up,33.5,4a,0,1.83,Control,19,0.9,October '23
Up,33.5,4b,0,1.83,Control,19,0.9,October '23
Up,33.5,5a,0,1.79,Control,19,0.9,October '23
Up,33.5,5b,0,1.8,Control,19,0.9,October '23
Up,33.5,6a,0,1.81,Control,19,0.9,October '23
Up,33.5,6b,0,1.83,Control,19,0.9,October '23
Up,33.5,7a,0,1.79,Control,19,0.9,October '23
Up,33.5,7b,0,1.83,Control,19,0.9,October '23
Up,33.5,8a,0,1.81,Control,19,0.9,October '23
Up,33.5,8b,0,1.78,Control,19,0.9,October '23
Up,33.5,9a,0,1.79,Control,19,0.9,October '23
Up,33.5,9b,0,1.84,Control,19,0.9,October '23
Up,37.5,10a,0,1.78,Treatment,21,1,October '23
Up,37.5,10b,0,1.81,Treatment,21,1,October '23
Up,37.5,1a,0,1.83,Treatment,21,1,October '23
Up,37.5,1b,0,1.81,Treatment,21,1,October '23
Up,37.5,2a,0,1.84,Treatment,21,1,October '23
Up,37.5,2b,0,1.81,Treatment,21,1,October '23
Up,37.5,3a,0,1.84,Treatment,21,1,October '23
Up,37.5,3b,0,1.83,Treatment,21,1,October '23
Up,37.5,4a,0,1.84,Treatment,21,1,October '23
Up,37.5,4b,0,1.82,Treatment,21,1,October '23
Up,37.5,5a,0,1.81,Treatment,21,1,October '23
Up,37.5,5b,0,1.78,Treatment,21,1,October '23
Up,37.5,6a,0,1.87,Treatment,21,1,October '23
Up,37.5,6b,0,1.87,Treatment,21,1,October '23
Up,37.5,7a,0,1.81,Treatment,21,1,October '23
Up,37.5,7b,0,1.84,Treatment,21,1,October '23
Up,37.5,8a,0,1.87,Treatment,21,1,October '23
Up,37.5,8b,0,1.86,Treatment,21,1,October '23
Up,37.5,9a,0,1.84,Treatment,21,1,October '23
Up,37.5,9b,0,1.85,Treatment,21,1,October '23
Up,45.5,10a,0,1.85,Treatment,35,1,October '23
Up,45.5,10b,0,1.86,Treatment,35,1,October '23
Up,45.5,1a,0,1.76,Treatment,35,1,October '23
Up,45.5,1b,0,1.84,Treatment,35,1,October '23
Up,45.5,2a,0,1.84,Treatment,35,1,October '23
Up,45.5,2b,0,1.84,Treatment,35,1,October '23
Up,45.5,3a,0,1.89,Treatment,35,1,October '23
Up,45.5,3b,0,1.82,Treatment,35,1,October '23
Up,45.5,4a,0,1.77,Treatment,35,1,October '23
Up,45.5,4b,0,1.77,Treatment,35,1,October '23
Up,45.5,5a,0,1.8,Treatment,35,1,October '23
Up,45.5,5b,0,1.78,Treatment,35,1,October '23
Up,45.5,6a,0,1.82,Treatment,35,1,October '23
Up,45.5,6b,0,1.81,Treatment,35,1,October '23
Up,45.5,7a,0,1.87,Treatment,35,1,October '23
Up,45.5,7b,0,1.82,Treatment,35,1,October '23
Up,45.5,8a,0,1.75,Treatment,35,1,October '23
Up,45.5,8b,0,1.84,Treatment,35,1,October '23
Up,45.5,9a,0,1.87,Treatment,35,1,October '23
Up,45.5,9b,0,1.86,Treatment,35,1,October '23
Low,2.5,2a,1,1.07,Treatment,2,1.4,May '24
Low,2.5,2b,1,1.29,Treatment,2,1.4,May '24
Low,2.5,4b,1,1.13,Treatment,2,1.4,May '24
Low,2.5,6a,1,1.29,Treatment,2,1.4,May '24
Low,2.5,8a,1,1.12,Treatment,2,1.4,May '24
Low,6.5,2b,1,1.09,Control,4,1.9,May '24
Low,6.5,4a,1,1.2,Control,4,1.9,May '24
Low,6.5,4b,1,1.15,Control,4,1.9,May '24
Low,6.5,5a,1,0.97,Control,4,1.9,May '24
Low,6.5,5b,1,1.02,Control,4,1.9,May '24
Up,9.5,1a,1,1.2,Control,16,1,May '24
Up,9.5,2b,1,1.31,Control,16,1,May '24
Low,10.5,1a,1,1.18,Treatment,3,1.4,May '24
Low,10.5,2b,1,1.18,Treatment,3,1.4,May '24
Low,10.5,4a,1,1.05,Treatment,3,1.4,May '24
Low,10.5,6b,1,1.22,Treatment,3,1.4,May '24
Low,14.5,4a,1,1.29,Control,6,2.1,May '24
Low,14.5,6a,1,1.29,Control,6,2.1,May '24
Low,14.5,7a,1,1.27,Control,6,2.1,May '24
Low,14.5,7b,1,1.26,Control,6,2.1,May '24
Low,14.5,8b,1,1.31,Control,6,2.1,May '24
Low,18.5,2a,1,1.29,Treatment,12,1.1,May '24
Low,18.5,7b,1,1.15,Treatment,12,1.1,May '24
Low,18.5,8b,1,1.25,Treatment,12,1.1,May '24
Low,18.5,9a,1,1.28,Treatment,12,1.1,May '24
Low,22.5,1a,1,1.33,Control,12,2.3,May '24
Low,22.5,1b,1,1.02,Control,12,2.3,May '24
Low,22.5,3b,1,1.08,Control,12,2.3,May '24
Low,22.5,8a,1,1.34,Control,12,2.3,May '24
Low,22.5,9b,1,1.25,Control,12,2.3,May '24
Up,30.5,7b,1,1.21,Treatment,23,0.7,May '24
Up,30.5,9a,1,1.21,Treatment,23,0.7,May '24
Up,33.5,10a,1,1.38,Control,19,0.9,May '24
Up,33.5,1a,1,1.19,Control,19,0.9,May '24
Up,33.5,4a,1,1.26,Control,19,0.9,May '24
Up,33.5,5b,1,1.25,Control,19,0.9,May '24
Up,33.5,8a,1,1.25,Control,19,0.9,May '24
Up,37.5,6a,1,1.35,Treatment,21,1,May '24
Up,37.5,7a,1,1.21,Treatment,21,1,May '24
Up,37.5,7b,1,1.26,Treatment,21,1,May '24
Up,37.5,8a,1,1.25,Treatment,21,1,May '24
Up,37.5,9b,1,1.23,Treatment,21,1,May '24
Up,45.5,10a,1,1.24,Treatment,35,1,May '24
Up,45.5,1b,1,1.17,Treatment,35,1,May '24
Low,2.5,5a,2,1.02,Treatment,2,1.4,June '24
Low,2.5,6b,2,0.81,Treatment,2,1.4,June '24
Low,2.5,7a,2,0.91,Treatment,2,1.4,June '24
Low,2.5,9b,2,1.08,Treatment,2,1.4,June '24
Low,6.5,10b,2,1.1,Control,4,1.9,June '24
Low,6.5,3a,2,1.06,Control,4,1.9,June '24
Up,9.5,3b,2,1.09,Control,16,1,June '24
Up,9.5,6a,2,1.31,Control,16,1,June '24
Low,18.5,10a,2,1.27,Treatment,12,1.1,June '24
Low,22.5,2b,2,1.21,Control,12,2.3,June '24
Low,22.5,4a,2,1.1,Control,12,2.3,June '24
Low,22.5,4b,2,1.11,Control,12,2.3,June '24
Up,25.5,5a,2,1.03,Control,21,0.8,June '24
Up,25.5,6a,2,1.11,Control,21,0.8,June '24
Up,25.5,7a,2,1.2,Control,21,0.8,June '24
Up,30.5,1b,2,1.18,Treatment,23,0.7,June '24
Up,30.5,5a,2,1.19,Treatment,23,0.7,June '24
Up,30.5,5b,2,1.02,Treatment,23,0.7,June '24
Up,33.5,10b,2,1.21,Control,19,0.9,June '24
Up,33.5,2a,2,1.38,Control,19,0.9,June '24
Up,33.5,3a,2,1.16,Control,19,0.9,June '24
Up,33.5,7a,2,1.18,Control,19,0.9,June '24
Up,33.5,9a,2,1.16,Control,19,0.9,June '24
Up,37.5,2a,2,1.18,Treatment,21,1,June '24
Up,37.5,4a,2,1.16,Treatment,21,1,June '24
Up,37.5,4b,2,1.16,Treatment,21,1,June '24
Up,37.5,6b,2,1.2,Treatment,21,1,June '24
Up,45.5,1a,2,1.04,Treatment,35,1,June '24
Up,45.5,9b,2,1.13,Treatment,35,1,June '24
Low,2.5,10a,3,0.96,Treatment,2,1.4,July '24
Low,2.5,10b,3,1.05,Treatment,2,1.4,July '24
Low,2.5,1a,3,0.76,Treatment,2,1.4,July '24
Low,2.5,3a,3,1.05,Treatment,2,1.4,July '24
Low,2.5,3b,3,1.07,Treatment,2,1.4,July '24
Low,6.5,1a,3,0.96,Control,4,1.9,July '24
Low,6.5,6b,3,0.93,Control,4,1.9,July '24
Low,6.5,7b,3,0.92,Control,4,1.9,July '24
Up,9.5,3b,3,1,Control,16,1,July '24
Low,10.5,5b,3,1.11,Treatment,3,1.4,July '24
Low,10.5,6a,3,0.91,Treatment,3,1.4,July '24
Low,10.5,8a,3,1.11,Treatment,3,1.4,July '24
Low,10.5,8b,3,1.12,Treatment,3,1.4,July '24
Low,14.5,10a,3,1.28,Control,6,2.1,July '24
Low,14.5,3a,3,1.06,Control,6,2.1,July '24
Low,14.5,5a,3,1.12,Control,6,2.1,July '24
Low,14.5,5b,3,1.11,Control,6,2.1,July '24
Low,14.5,9a,3,0.76,Control,6,2.1,July '24
Low,14.5,9b,3,1.16,Control,6,2.1,July '24
Low,18.5,3b,3,1.14,Treatment,12,1.1,July '24
Low,18.5,6a,3,0.71,Treatment,12,1.1,July '24
Low,22.5,10b,3,1.08,Control,12,2.3,July '24
Low,22.5,3b,3,1.09,Control,12,2.3,July '24
Low,22.5,7b,3,1.06,Control,12,2.3,July '24
Up,25.5,1a,3,1.02,Control,21,0.8,July '24
Up,25.5,1b,3,1.19,Control,21,0.8,July '24
Up,25.5,4a,3,1.18,Control,21,0.8,July '24
Up,25.5,6b,3,1.05,Control,21,0.8,July '24
Up,30.5,4a,3,1.14,Treatment,23,0.7,July '24
Up,33.5,6a,3,1.13,Control,19,0.9,July '24
Up,37.5,10a,3,1.07,Treatment,21,1,July '24
Up,37.5,3b,3,1.29,Treatment,21,1,July '24
Up,37.5,5a,3,1.13,Treatment,21,1,July '24
Up,37.5,5b,3,1.11,Treatment,21,1,July '24
Up,37.5,8b,3,1.21,Treatment,21,1,July '24
Up,45.5,10b,3,1.12,Treatment,35,1,July '24
Low,6.5,1b,4,0.88,Control,4,1.9,August '24
Low,6.5,2a,4,1.01,Control,4,1.9,August '24
Low,6.5,8a,4,1.06,Control,4,1.9,August '24
Up,9.5,5a,4,1.24,Control,16,1,August '24
Up,9.5,8a,4,0.8,Control,16,1,August '24
Low,10.5,3a,4,0.49,Treatment,3,1.4,August '24
Low,10.5,3b,4,0.84,Treatment,3,1.4,August '24
Low,10.5,4b,4,1.17,Treatment,3,1.4,August '24
Low,10.5,5a,4,1.05,Treatment,3,1.4,August '24
Low,14.5,2a,4,1.17,Control,6,2.1,August '24
Low,14.5,8a,4,1.23,Control,6,2.1,August '24
Low,18.5,3a,4,1.26,Treatment,12,1.1,August '24
Low,18.5,5a,4,0.93,Treatment,12,1.1,August '24
Low,18.5,7a,4,0.97,Treatment,12,1.1,August '24
Up,25.5,5b,4,1.03,Control,21,0.8,August '24
Up,25.5,9a,4,1,Control,21,0.8,August '24
Up,30.5,1a,4,1.3,Treatment,23,0.7,August '24
Up,33.5,4b,4,1.06,Control,19,0.9,August '24
Up,33.5,6b,4,1.09,Control,19,0.9,August '24
Up,33.5,8b,4,1.05,Control,19,0.9,August '24
Up,37.5,1a,4,1.18,Treatment,21,1,August '24
Up,37.5,2b,4,1.1,Treatment,21,1,August '24
Up,45.5,9a,4,1.17,Treatment,35,1,August '24
